Timestamop,IP Address,Reactors,Output Type,Current Output
0,,0,,0
3801475710,192.168.1.200,1,VSET,1.1
3801475710,192.168.1.200,1,ISET,3
3801475710,192.168.1.200,1,VOUT,1.1
3801475710,192.168.1.200,1,IOUT,0.311
3801475710,192.168.1.200,2,VSET,1.1
3801475710,192.168.1.200,2,ISET,2.01
3801475710,192.168.1.200,2,VOUT,1.1
3801475710,192.168.1.200,2,IOUT,0.137
3801475710,192.168.1.201,1,VSET,1
3801475710,192.168.1.201,1,ISET,2.001
3801475710,192.168.1.201,1,VOUT,1
3801475710,192.168.1.201,1,IOUT,0.147
3801475710,192.168.1.201,2,VSET,1.1
3801475710,192.168.1.201,2,ISET,2.1
3801475710,192.168.1.201,2,VOUT,1.1
3801475710,192.168.1.201,2,IOUT,0
3801475711,192.168.1.198,1,VSET,1
3801475711,192.168.1.198,1,ISET,2
3801475711,192.168.1.198,1,VOUT,1
3801475711,192.168.1.198,1,IOUT,0.116
3801475711,192.168.1.198,2,VSET,1
3801475711,192.168.1.198,2,ISET,2
3801475711,192.168.1.198,2,VOUT,1
3801475711,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801475770,192.168.1.200,1,VSET,1.1
3801475770,192.168.1.200,1,ISET,3
3801475770,192.168.1.200,1,VOUT,1.1
3801475770,192.168.1.200,1,IOUT,0.316
3801475770,192.168.1.200,2,VSET,1.1
3801475770,192.168.1.200,2,ISET,2.01
3801475770,192.168.1.200,2,VOUT,1.1
3801475770,192.168.1.200,2,IOUT,0.137
3801475770,192.168.1.201,1,VSET,1
3801475770,192.168.1.201,1,ISET,2.001
3801475770,192.168.1.201,1,VOUT,1
3801475770,192.168.1.201,1,IOUT,0.15
3801475770,192.168.1.201,2,VSET,1.1
3801475770,192.168.1.201,2,ISET,2.1
3801475770,192.168.1.201,2,VOUT,1.1
3801475770,192.168.1.201,2,IOUT,0
3801475771,192.168.1.198,1,VSET,1
3801475771,192.168.1.198,1,ISET,2
3801475771,192.168.1.198,1,VOUT,1
3801475771,192.168.1.198,1,IOUT,0.116
3801475771,192.168.1.198,2,VSET,1
3801475771,192.168.1.198,2,ISET,2
3801475771,192.168.1.198,2,VOUT,1
3801475771,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801475830,192.168.1.200,1,VSET,1.1
3801475830,192.168.1.200,1,ISET,3
3801475830,192.168.1.200,1,VOUT,1.1
3801475830,192.168.1.200,1,IOUT,0.319
3801475830,192.168.1.200,2,VSET,1.1
3801475830,192.168.1.200,2,ISET,2.01
3801475830,192.168.1.200,2,VOUT,1.1
3801475830,192.168.1.200,2,IOUT,0.137
3801475830,192.168.1.201,1,VSET,1
3801475830,192.168.1.201,1,ISET,2.001
3801475830,192.168.1.201,1,VOUT,1
3801475830,192.168.1.201,1,IOUT,0.15
